Date,Height,England,GlobalTrend,Tidal Component,Non-Tidal Residual
01/01/1968,4.07,4.21,-0.0013,-0.14,-0.1387
02/01/1968,3.73,3.97,-0.0013,-0.24,-0.2387
02/01/1968,3.73,4.21,-0.0013,-0.48,-0.4787
03/01/1968,4.1,3.86,-0.0013,0.24,0.2413
03/01/1968,3.65,4.16,-0.0013,-0.51,-0.5087
04/01/1968,4.15,3.73,-0.0013,0.42,0.4213
04/01/1968,3.31,4.07,-0.0013,-0.76,-0.7587
05/01/1968,4,3.59,-0.0013,0.41,0.4113
05/01/1968,3.53,3.94,-0.0013,-0.41,-0.4087
06/01/1968,3.74,3.45,-0.0013,0.29,0.2913
06/01/1968,3.31,3.79,-0.0013,-0.48,-0.4787
07/01/1968,3.46,3.34,-0.0013,0.12,0.1213
07/01/1968,2.88,3.63,-0.0013,-0.75,-0.7487
08/01/1968,3.46,3.28,-0.0013,0.18,0.1813
08/01/1968,3.1,3.49,-0.0013,-0.39,-0.3887
09/01/1968,3.25,3.28,-0.0013,-0.03,-0.0287
09/01/1968,3.01,3.4,-0.0013,-0.39,-0.3887
10/01/1968,3.11,3.34,-0.0013,-0.23,-0.2287
10/01/1968,3.1,3.37,-0.0013,-0.27,-0.2687
11/01/1968,3.37,3.45,-0.0013,-0.08,-0.0787
11/01/1968,3.14,3.4,-0.0013,-0.26,-0.2587
12/01/1968,3.53,3.57,-0.0013,-0.04,-0.0387
12/01/1968,3.41,3.47,-0.0013,-0.06,-0.0587
13/01/1968,3.89,3.7,-0.0013,0.19,0.1913
13/01/1968,3.77,3.56,-0.0013,0.21,0.2113
14/01/1968,3.96,3.81,-0.0013,0.15,0.1513
14/01/1968,3.86,3.64,-0.0013,0.22,0.2213
15/01/1968,4.14,3.9,-0.0013,0.24,0.2413
15/01/1968,3.67,3.72,-0.0013,-0.05,-0.0487
16/01/1968,4.35,3.98,-0.0013,0.37,0.3713
17/01/1968,4.04,3.78,-0.0013,0.26,0.2613
17/01/1968,3.88,4.04,-0.0013,-0.16,-0.1587
18/01/1968,4.05,3.82,-0.0013,0.23,0.2313
18/01/1968,3.52,4.08,-0.0013,-0.56,-0.5587
19/01/1968,3.94,3.84,-0.0013,0.1,0.1013
19/01/1968,3.65,4.1,-0.0013,-0.45,-0.4487
20/01/1968,3.97,3.82,-0.0013,0.15,0.1513
20/01/1968,3.64,4.08,-0.0013,-0.44,-0.4387
21/01/1968,3.82,3.77,-0.0013,0.05,0.0513
21/01/1968,3.49,4.02,-0.0013,-0.53,-0.5287
22/01/1968,3.71,3.69,-0.0013,0.02,0.0213
22/01/1968,3.42,3.92,-0.0013,-0.5,-0.4987
23/01/1968,3.69,3.6,-0.0013,0.09,0.0913
23/01/1968,3.45,3.79,-0.0013,-0.34,-0.3387
24/01/1968,3.54,3.53,-0.0013,0.01,0.0113
24/01/1968,3.2,3.67,-0.0013,-0.47,-0.4687
25/01/1968,3.48,3.53,-0.0013,-0.05,-0.0487
25/01/1968,3.44,3.62,-0.0013,-0.18,-0.1787
26/01/1968,3.6,3.62,-0.0013,-0.02,-0.0187
26/01/1968,3.42,3.66,-0.0013,-0.24,-0.2387
27/01/1968,3.84,3.77,-0.0013,0.07,0.0713
27/01/1968,3.75,3.75,-0.0013,0,0.0013
28/01/1968,3.81,3.94,-0.0013,-0.13,-0.1287
28/01/1968,3.74,3.83,-0.0013,-0.09,-0.0887
29/01/1968,4.05,4.07,-0.0013,-0.02,-0.0187
29/01/1968,3.96,3.86,-0.0013,0.1,0.1013
30/01/1968,4.28,4.14,-0.0013,0.14,0.1413
31/01/1968,4.2,3.84,-0.0013,0.36,0.3613
31/01/1968,3.91,4.16,-0.0013,-0.25,-0.2487
01/02/1968,4.19,3.77,-0.0014,0.42,0.4214
01/02/1968,3.86,4.12,-0.0014,-0.26,-0.2586
02/02/1968,3.94,3.68,-0.0014,0.26,0.2614
02/02/1968,3.62,4.05,-0.0014,-0.43,-0.4286
03/02/1968,3.62,3.59,-0.0014,0.03,0.0314
03/02/1968,3.47,3.93,-0.0014,-0.46,-0.4586
04/02/1968,4.27,3.49,-0.0014,0.78,0.7814
04/02/1968,3.3,3.78,-0.0014,-0.48,-0.4786
05/02/1968,3.57,3.38,-0.0014,0.19,0.1914
05/02/1968,3.37,3.59,-0.0014,-0.22,-0.2186
06/02/1968,3.5,3.26,-0.0014,0.24,0.2414
06/02/1968,3.45,3.38,-0.0014,0.07,0.0714
07/02/1968,3.35,3.17,-0.0014,0.18,0.1814
07/02/1968,3.25,3.21,-0.0014,0.04,0.0414
08/02/1968,3.25,3.14,-0.0014,0.11,0.1114
08/02/1968,3.2,3.12,-0.0014,0.08,0.0814
09/02/1968,3.3,3.21,-0.0014,0.09,0.0914
09/02/1968,3.19,3.17,-0.0014,0.02,0.0214
10/02/1968,3.36,3.36,-0.0014,0,0.0014
10/02/1968,3.32,3.3,-0.0014,0.02,0.0214
11/02/1968,3.71,3.54,-0.0014,0.17,0.1714
11/02/1968,3.65,3.46,-0.0014,0.19,0.1914
12/02/1968,3.98,3.72,-0.0014,0.26,0.2614
12/02/1968,3.77,3.62,-0.0014,0.15,0.1514
13/02/1968,4.04,3.88,-0.0014,0.16,0.1614
13/02/1968,4,3.76,-0.0014,0.24,0.2414
14/02/1968,4.17,4.03,-0.0014,0.14,0.1414
14/02/1968,4.03,3.87,-0.0014,0.16,0.1614
15/02/1968,4.17,4.14,-0.0014,0.03,0.0314
16/02/1968,4.28,3.94,-0.0014,0.34,0.3414
16/02/1968,3.98,4.21,-0.0014,-0.23,-0.2286
17/02/1968,4.22,3.97,-0.0014,0.25,0.2514
17/02/1968,3.97,4.23,-0.0014,-0.26,-0.2586
18/02/1968,4.27,3.95,-0.0014,0.32,0.3214
18/02/1968,3.94,4.18,-0.0014,-0.24,-0.2386
19/02/1968,4.2,3.88,-0.0014,0.32,0.3214
19/02/1968,4.01,4.07,-0.0014,-0.06,-0.0586
20/02/1968,3.97,3.75,-0.0014,0.22,0.2214
20/02/1968,3.8,3.89,-0.0014,-0.09,-0.0886
21/02/1968,3.83,3.59,-0.0014,0.24,0.2414
21/02/1968,3.67,3.66,-0.0014,0.01,0.0114
22/02/1968,3.59,3.44,-0.0014,0.15,0.1514
22/02/1968,3.53,3.46,-0.0014,0.07,0.0714
23/02/1968,3.49,3.38,-0.0014,0.11,0.1114
23/02/1968,3.36,3.4,-0.0014,-0.04,-0.0386
24/02/1968,3.52,3.48,-0.0014,0.04,0.0414
24/02/1968,3.5,3.48,-0.0014,0.02,0.0214
25/02/1968,3.61,3.66,-0.0014,-0.05,-0.0486
25/02/1968,3.61,3.61,-0.0014,0,0.0014
26/02/1968,3.82,3.85,-0.0014,-0.03,-0.0286
26/02/1968,3.67,3.72,-0.0014,-0.05,-0.0486
27/02/1968,3.92,3.98,-0.0014,-0.06,-0.0586
27/02/1968,3.57,3.75,-0.0014,-0.18,-0.1786
28/02/1968,4.14,4.05,-0.0014,0.09,0.0914
29/02/1968,4.16,3.73,-0.0014,0.43,0.4314
29/02/1968,3.87,4.05,-0.0014,-0.18,-0.1786
01/03/1968,4.14,3.69,-0.0015,0.45,0.4515
01/03/1968,3.75,4.02,-0.0015,-0.27,-0.2685
02/03/1968,3.95,3.66,-0.0015,0.29,0.2915
02/03/1968,3.72,3.96,-0.0015,-0.24,-0.2385
03/03/1968,3.74,3.62,-0.0015,0.12,0.1215
03/03/1968,3.54,3.86,-0.0015,-0.32,-0.3185
04/03/1968,3.62,3.57,-0.0015,0.05,0.0515
04/03/1968,3.39,3.72,-0.0015,-0.33,-0.3285
05/03/1968,3.48,3.48,-0.0015,0,0.0015
05/03/1968,3.3,3.54,-0.0015,-0.24,-0.2385
06/03/1968,3.24,3.35,-0.0015,-0.11,-0.1085
06/03/1968,3.13,3.32,-0.0015,-0.19,-0.1885
07/03/1968,2.99,3.18,-0.0015,-0.19,-0.1885
07/03/1968,2.96,3.1,-0.0015,-0.14,-0.1385
08/03/1968,3.01,3.04,-0.0015,-0.03,-0.0285
08/03/1968,2.98,2.97,-0.0015,0.01,0.0115
09/03/1968,3.11,3.03,-0.0015,0.08,0.0815
09/03/1968,3.06,3.02,-0.0015,0.04,0.0415
10/03/1968,3.17,3.19,-0.0015,-0.02,-0.0185
10/03/1968,3.15,3.21,-0.0015,-0.06,-0.0585
11/03/1968,3.35,3.42,-0.0015,-0.07,-0.0685
11/03/1968,3.34,3.43,-0.0015,-0.09,-0.0885
12/03/1968,3.55,3.66,-0.0015,-0.11,-0.1085
12/03/1968,3.55,3.64,-0.0015,-0.09,-0.0885
13/03/1968,3.81,3.88,-0.0015,-0.07,-0.0685
13/03/1968,3.79,3.82,-0.0015,-0.03,-0.0285
14/03/1968,4.1,4.07,-0.0015,0.03,0.0315
14/03/1968,3.96,3.96,-0.0015,0,0.0015
15/03/1968,4.22,4.21,-0.0015,0.01,0.0115
16/03/1968,4.28,4.05,-0.0015,0.23,0.2315
16/03/1968,4.19,4.28,-0.0015,-0.09,-0.0885
17/03/1968,4.39,4.08,-0.0015,0.31,0.3115
17/03/1968,4.32,4.27,-0.0015,0.05,0.0515
18/03/1968,4.27,4.04,-0.0015,0.23,0.2315
18/03/1968,4.14,4.18,-0.0015,-0.04,-0.0385
19/03/1968,4.37,3.94,-0.0015,0.43,0.4315
19/03/1968,3.97,4,-0.0015,-0.03,-0.0285
20/03/1968,4.11,3.78,-0.0015,0.33,0.3315
20/03/1968,4.07,3.76,-0.0015,0.31,0.3115
21/03/1968,3.81,3.59,-0.0015,0.22,0.2215
21/03/1968,3.8,3.5,-0.0015,0.3,0.3015
22/03/1968,3.56,3.41,-0.0015,0.15,0.1515
22/03/1968,3.54,3.31,-0.0015,0.23,0.2315
23/03/1968,3.91,3.35,-0.0015,0.56,0.5615
23/03/1968,3.75,3.31,-0.0015,0.44,0.4415
24/03/1968,3.76,3.45,-0.0015,0.31,0.3115
24/03/1968,3.66,3.43,-0.0015,0.23,0.2315
25/03/1968,3.79,3.64,-0.0015,0.15,0.1515
25/03/1968,3.61,3.57,-0.0015,0.04,0.0415
26/03/1968,3.79,3.81,-0.0015,-0.02,-0.0185
26/03/1968,3.67,3.66,-0.0015,0.01,0.0115
27/03/1968,3.98,3.91,-0.0015,0.07,0.0715
27/03/1968,3.75,3.69,-0.0015,0.06,0.0615
28/03/1968,4.04,3.94,-0.0015,0.1,0.1015
28/03/1968,3.84,3.67,-0.0015,0.17,0.1715
29/03/1968,4.1,3.93,-0.0015,0.17,0.1715
30/03/1968,3.84,3.66,-0.0015,0.18,0.1815
30/03/1968,3.83,3.89,-0.0015,-0.06,-0.0585
31/03/1968,3.76,3.66,-0.0015,0.1,0.1015
31/03/1968,3.65,3.84,-0.0015,-0.19,-0.1885
01/04/1968,3.98,3.67,-0.0018,0.31,0.3118
01/04/1968,3.71,3.76,-0.0018,-0.05,-0.0482
02/04/1968,3.86,3.64,-0.0018,0.22,0.2218
02/04/1968,3.47,3.65,-0.0018,-0.18,-0.1782
03/04/1968,3.48,3.57,-0.0018,-0.09,-0.0882
03/04/1968,3.44,3.49,-0.0018,-0.05,-0.0482
04/04/1968,3.45,3.43,-0.0018,0.02,0.0218
04/04/1968,3.36,3.29,-0.0018,0.07,0.0718
05/04/1968,3.36,3.26,-0.0018,0.1,0.1018
05/04/1968,3.2,3.09,-0.0018,0.11,0.1118
06/04/1968,3.15,3.09,-0.0018,0.06,0.0618
06/04/1968,3.06,2.97,-0.0018,0.09,0.0918
07/04/1968,3.05,3.03,-0.0018,0.02,0.0218
07/04/1968,2.94,3.02,-0.0018,-0.08,-0.0782
08/04/1968,3.18,3.15,-0.0018,0.03,0.0318
08/04/1968,3.11,3.21,-0.0018,-0.1,-0.0982
09/04/1968,3.34,3.39,-0.0018,-0.05,-0.0482
09/04/1968,3.27,3.45,-0.0018,-0.18,-0.1782
10/04/1968,3.53,3.65,-0.0018,-0.12,-0.1182
10/04/1968,3.52,3.68,-0.0018,-0.16,-0.1582
11/04/1968,3.74,3.9,-0.0018,-0.16,-0.1582
11/04/1968,3.73,3.88,-0.0018,-0.15,-0.1482
12/04/1968,3.97,4.1,-0.0018,-0.13,-0.1282
12/04/1968,3.96,4.03,-0.0018,-0.07,-0.0682
13/04/1968,4.25,4.23,-0.0018,0.02,0.0218
13/04/1968,4.12,4.11,-0.0018,0.01,0.0118
14/04/1968,4.34,4.28,-0.0018,0.06,0.0618
15/04/1968,4.38,4.14,-0.0018,0.24,0.2418
15/04/1968,4.17,4.23,-0.0018,-0.06,-0.0582
16/04/1968,4.4,4.09,-0.0018,0.31,0.3118
16/04/1968,4.26,4.1,-0.0018,0.16,0.1618
17/04/1968,4.32,3.98,-0.0018,0.34,0.3418
17/04/1968,4.3,3.9,-0.0018,0.4,0.4018
18/04/1968,4.11,3.83,-0.0018,0.28,0.2818
18/04/1968,3.92,3.65,-0.0018,0.27,0.2718
19/04/1968,3.96,3.64,-0.0018,0.32,0.3218
19/04/1968,3.63,3.43,-0.0018,0.2,0.2018
20/04/1968,3.88,3.49,-0.0018,0.39,0.3918
20/04/1968,3.5,3.31,-0.0018,0.19,0.1918
21/04/1968,3.59,3.45,-0.0018,0.14,0.1418
21/04/1968,3.56,3.32,-0.0018,0.24,0.2418
22/04/1968,3.64,3.53,-0.0018,0.11,0.1118
22/04/1968,3.58,3.43,-0.0018,0.15,0.1518
23/04/1968,3.79,3.66,-0.0018,0.13,0.1318
23/04/1968,3.56,3.54,-0.0018,0.02,0.0218
24/04/1968,3.76,3.77,-0.0018,-0.01,-0.0082
24/04/1968,3.55,3.61,-0.0018,-0.06,-0.0582
25/04/1968,3.86,3.83,-0.0018,0.03,0.0318
25/04/1968,3.72,3.64,-0.0018,0.08,0.0818
26/04/1968,4.01,3.83,-0.0018,0.18,0.1818
26/04/1968,3.98,3.65,-0.0018,0.33,0.3318
27/04/1968,4.11,3.8,-0.0018,0.31,0.3118
27/04/1968,4.01,3.66,-0.0018,0.35,0.3518
28/04/1968,4.13,3.76,-0.0018,0.37,0.3718
29/04/1968,4,3.69,-0.0018,0.31,0.3118
29/04/1968,3.99,3.72,-0.0018,0.27,0.2718
30/04/1968,4,3.7,-0.0018,0.3,0.3018
30/04/1968,3.93,3.66,-0.0018,0.27,0.2718
01/05/1968,3.83,3.69,-0.0018,0.14,0.1418
01/05/1968,3.77,3.58,-0.0018,0.19,0.1918
02/05/1968,3.79,3.63,-0.0018,0.16,0.1618
02/05/1968,3.6,3.46,-0.0018,0.14,0.1418
03/05/1968,3.66,3.52,-0.0018,0.14,0.1418
03/05/1968,3.48,3.33,-0.0018,0.15,0.1518
04/05/1968,3.6,3.39,-0.0018,0.21,0.2118
04/05/1968,3.36,3.19,-0.0018,0.17,0.1718
05/05/1968,3.46,3.27,-0.0018,0.19,0.1918
05/05/1968,3.2,3.11,-0.0018,0.09,0.0918
06/05/1968,3.21,3.22,-0.0018,-0.01,-0.0082
06/05/1968,3.13,3.15,-0.0018,-0.02,-0.0182
07/05/1968,3.34,3.3,-0.0018,0.04,0.0418
07/05/1968,3.16,3.3,-0.0018,-0.14,-0.1382
08/05/1968,3.56,3.48,-0.0018,0.08,0.0818
08/05/1968,3.47,3.5,-0.0018,-0.03,-0.0282
09/05/1968,3.9,3.71,-0.0018,0.19,0.1918
09/05/1968,3.76,3.71,-0.0018,0.05,0.0518
10/05/1968,4.02,3.92,-0.0018,0.1,0.1018
10/05/1968,3.99,3.89,-0.0018,0.1,0.1018
11/05/1968,4.14,4.09,-0.0018,0.05,0.0518
11/05/1968,3.95,4.03,-0.0018,-0.08,-0.0782
12/05/1968,4.25,4.19,-0.0018,0.06,0.0618
12/05/1968,4.17,4.12,-0.0018,0.05,0.0518
13/05/1968,4.2,4.21,-0.0018,-0.01,-0.0082
14/05/1968,4.18,4.15,-0.0018,0.03,0.0318
14/05/1968,4.09,4.14,-0.0018,-0.05,-0.0482
15/05/1968,4.04,4.12,-0.0018,-0.08,-0.0782
15/05/1968,4.02,4.01,-0.0018,0.01,0.0118
16/05/1968,3.89,4.03,-0.0018,-0.14,-0.1382
16/05/1968,3.69,3.83,-0.0018,-0.14,-0.1382
17/05/1968,3.7,3.91,-0.0018,-0.21,-0.2082
17/05/1968,3.52,3.63,-0.0018,-0.11,-0.1082
18/05/1968,3.62,3.78,-0.0018,-0.16,-0.1582
18/05/1968,3.33,3.46,-0.0018,-0.13,-0.1282
19/05/1968,3.55,3.66,-0.0018,-0.11,-0.1082
19/05/1968,3.31,3.36,-0.0018,-0.05,-0.0482
20/05/1968,3.47,3.6,-0.0018,-0.13,-0.1282
20/05/1968,3.27,3.35,-0.0018,-0.08,-0.0782
21/05/1968,3.49,3.61,-0.0018,-0.12,-0.1182
21/05/1968,3.35,3.4,-0.0018,-0.05,-0.0482
