Month,Year,HW [m],LW [m],Mean [m]
1,1987,3.76,0.96,2.36
2,1987,3.82,1.08,2.45
3,1987,3.78,0.94,2.36
4,1987,3.8,1.03,2.415
5,1987,3.6,0.93,2.265
6,1987,3.74,1.12,2.43
7,1987,3.64,1.09,2.365
8,1987,3.79,1.03,2.41
9,1987,3.9,1.13,2.515
10,1987,3.97,1.22,2.595
11,1987,3.83,1.09,2.46
12,1987,3.96,1.22,2.59
1,1988,3.97,1.24,2.605
2,1988,3.86,1.02,2.44
3,1988,3.78,0.98,2.38
4,1988,4.1,1,2.55
5,1988,3.81,1.03,2.42
6,1988,3.76,1.03,2.395
7,1988,3.95,1.07,2.51
8,1988,3.88,1.03,2.455
9,1988,3.85,1.03,2.44
10,1988,3.92,1.14,2.53
11,1988,3.89,1.18,2.535
12,1988,3.75,1.1,2.425
1,1989,3.73,1.12,2.425
2,1989,3.9,1.09,2.495
3,1989,3.86,1.01,2.435
4,1989,3.77,0.98,2.375
5,1989,3.75,0.98,2.365
6,1989,3.61,0.97,2.29
7,1989,3.69,-99999,-99999
8,1989,3.86,1.07,2.465
9,1989,3.76,1,2.38
10,1989,3.9,1.1,2.5
11,1989,3.96,0.89,2.425
12,1989,4.07,1.33,2.7
1,1990,3.99,1.18,2.585
2,1990,4.16,1.23,2.695
3,1990,3.8,0.92,2.36
4,1990,3.75,0.82,2.285
5,1990,3.75,0.96,2.355
6,1990,3.8,1.03,2.415
7,1990,3.75,1.03,2.39
8,1990,3.77,1.07,2.42
9,1990,3.77,1.01,2.39
10,1990,3.99,1.18,2.585
11,1990,-99999,1.05,-99999
12,1990,3.81,0.99,2.4
1,1991,3.87,1.01,2.44
2,1991,3.79,0.98,2.385
3,1991,3.85,0.97,2.41
4,1991,3.77,0.95,2.36
5,1991,3.63,0.82,2.225
6,1991,3.81,1.13,2.47
7,1991,3.68,1.12,2.4
8,1991,3.72,0.88,2.3
9,1991,3.78,0.96,2.37
10,1991,3.78,0.98,2.38
11,1991,3.83,1.01,2.42
12,1991,3.7,0.9,2.3
1,1992,3.65,0.89,2.27
2,1992,3.71,0.87,2.29
3,1992,3.65,0.82,2.235
4,1992,3.65,0.84,2.245
5,1992,3.67,0.84,2.255
6,1992,3.55,0.86,2.205
7,1992,3.91,0.9,2.405
8,1992,3.98,0.93,2.455
9,1992,3.59,0.92,2.255
10,1992,3.72,0.89,2.305
11,1992,3.67,1.02,2.345
12,1992,3.81,1.05,2.43
1,1993,3.907,1.115,2.511
2,1993,3.659,0.736,2.1975
3,1993,3.727,0.861,2.294
4,1993,3.834,0.948,2.391
5,1993,3.815,0.972,2.3935
6,1993,3.799,0.938,2.3685
7,1993,3.78,0.938,2.359
8,1993,3.737,0.877,2.307
9,1993,3.939,1.029,2.484
10,1993,3.902,0.998,2.45
11,1993,3.842,1.01,2.426
12,1993,3.851,1.073,2.462
1,1994,3.903,0.944,2.4235
2,1994,3.931,1.028,2.4795
3,1994,3.876,0.862,2.369
4,1994,3.738,0.786,2.262
5,1994,3.872,0.961,2.4165
6,1994,3.767,0.891,2.329
7,1994,3.791,0.928,2.3595
8,1994,3.711,0.945,2.328
9,1994,3.738,0.863,2.3005
10,1994,3.832,0.978,2.405
11,1994,3.914,1.002,2.458
12,1994,3.938,1.004,2.471
1,1995,3.9,0.94,2.42
2,1995,3.884,0.961,2.4225
3,1995,-99999,-99999,-99999
4,1995,3.637,0.768,2.2025
5,1995,3.708,0.84,2.274
6,1995,3.631,0.803,2.217
7,1995,3.723,0.808,2.2655
8,1995,3.657,0.737,2.197
9,1995,3.784,0.893,2.3385
10,1995,3.909,0.984,2.4465
11,1995,3.909,0.969,2.439
12,1995,3.878,1.028,2.453
1,1996,4.053,1.193,2.623
2,1996,3.764,0.865,2.3145
3,1996,3.774,0.921,2.3475
4,1996,3.821,0.934,2.3775
5,1996,3.866,0.976,2.421
6,1996,3.703,0.805,2.254
7,1996,3.715,0.685,2.2
8,1996,3.769,0.773,2.271
9,1996,3.816,0.892,2.354
10,1996,3.93,1.025,2.4775
11,1996,3.898,0.91,2.404
12,1996,3.824,0.983,2.4035
1,1997,3.89,1.01,2.45
2,1997,3.82,1.04,2.43
3,1997,3.87,0.9,2.385
4,1997,3.74,0.77,2.255
5,1997,3.7,0.81,2.255
6,1997,3.76,0.9,2.33
7,1997,3.69,0.78,2.235
8,1997,3.73,1.03,2.38
9,1997,3.75,0.99,2.37
10,1997,-99999,-99999,-99999
11,1997,3.92,1.01,2.465
