"dyear","mtl","msl"
1938.042,2.396,2.446
1938.125,2.256,2.306
1938.208,2.384,2.434
1938.292,2.231,2.281
1938.375,2.219,2.269
1938.458,2.283,2.333
1938.542,2.283,2.333
1938.625,2.283,2.333
1938.708,2.32,2.37
1938.792,2.396,2.446
1938.875,2.524,2.574
1938.958,2.423,2.473
1939.042,2.576,2.626
1939.125,2.384,2.434
1939.208,2.286,2.336
1939.292,2.372,2.422
1939.375,2.332,2.382
1939.458,2.244,2.294
1939.542,2.356,2.406
1939.625,2.259,2.309
1939.708,2.308,2.358
1939.792,2.42,2.47
1939.875,2.524,2.574
1939.958,2.436,2.486
1940.042,2.408,2.458
1940.125,2.42,2.47
1940.208,2.372,2.422
1940.292,2.332,2.382
1940.375,2.359,2.409
1940.458,2.286,2.336
1940.542,2.332,2.382
1940.625,2.244,2.294
1940.708,2.32,2.37
1940.792,2.484,2.534
1940.875,2.436,2.486
1940.958,2.231,2.281
1941.042,2.42,2.47
1941.125,2.524,2.574
1941.208,2.308,2.358
1941.292,2.308,2.358
1941.375,2.295,2.345
1941.458,2.347,2.397
1941.542,2.411,2.461
1941.625,2.359,2.409
1941.708,2.283,2.333
1941.792,2.359,2.409
1941.875,2.472,2.522
1941.958,2.271,2.321
1942.042,2.198,2.248
1942.125,2.143,2.193
1942.208,2.314,2.364
1942.292,2.289,2.339
1942.375,2.396,2.446
1942.458,2.283,2.333
1942.542,2.332,2.382
1942.625,2.39,2.44
1942.708,2.414,2.464
1942.792,2.472,2.522
1942.875,2.32,2.37
1942.958,2.548,2.598
1943.042,2.509,2.559
1943.125,2.195,2.245
1943.208,2.274,2.324
1943.292,2.295,2.345
1943.375,2.283,2.333
1943.458,2.32,2.37
1943.542,2.372,2.422
1943.625,2.448,2.498
1943.708,2.402,2.452
1943.792,2.536,2.586
1943.875,2.332,2.382
1943.958,2.314,2.364
1944.042,2.35,2.4
1944.125,2.198,2.248
1944.208,2.219,2.269
1944.292,2.32,2.37
1944.375,2.277,2.327
1944.458,2.372,2.422
1944.542,2.39,2.44
1944.625,2.378,2.428
1944.708,2.338,2.388
1944.792,2.35,2.4
1944.875,2.448,2.498
1944.958,2.326,2.376
1945.042,2.204,2.254
1945.125,2.32,2.37
1945.208,2.231,2.281
1945.292,2.347,2.397
1945.375,2.42,2.47
1945.458,2.372,2.422
1945.542,2.372,2.422
1945.625,2.347,2.397
1945.708,2.372,2.422
1945.792,2.46,2.51
1945.875,2.448,2.498
1945.958,2.561,2.611
1946.042,2.42,2.47
1946.125,2.244,2.294
1946.208,2.338,2.388
1946.292,2.231,2.281
1946.375,2.353,2.403
1946.458,2.396,2.446
1946.542,2.332,2.382
1946.625,2.384,2.434
1946.708,2.448,2.498
1946.792,2.426,2.476
1946.875,2.536,2.586
1946.958,2.332,2.382
1947.042,2.372,2.422
1947.125,2.347,2.397
1947.208,2.487,2.537
1947.292,2.46,2.51
1947.375,2.384,2.434
1947.458,2.448,2.498
1947.542,2.423,2.473
1947.625,2.295,2.345
1947.708,2.372,2.422
1947.792,2.32,2.37
1947.875,2.442,2.492
1947.958,2.332,2.382
1948.042,2.57,2.62
1948.125,2.35,2.4
1948.208,2.329,2.379
1948.292,2.347,2.397
