"year","month","dyear","mhw","mlw","mtl","msl"
1987,1,1987.042,3.76,0.96,2.36,NA
1987,2,1987.125,3.82,1.08,2.45,NA
1987,3,1987.208,3.78,0.94,2.36,NA
1987,4,1987.292,3.8,1.03,2.415,NA
1987,5,1987.375,3.6,0.93,2.265,NA
1987,6,1987.458,3.74,1.12,2.43,NA
1987,7,1987.542,3.64,1.09,2.365,NA
1987,8,1987.625,3.79,1.03,2.41,NA
1987,9,1987.708,3.9,1.13,2.515,NA
1987,10,1987.792,3.97,1.22,2.595,NA
1987,11,1987.875,3.83,1.09,2.46,NA
1987,12,1987.958,3.96,1.22,2.59,NA
1988,1,1988.042,3.97,1.24,2.605,NA
1988,2,1988.125,3.86,1.02,2.44,NA
1988,3,1988.208,3.78,0.98,2.38,NA
1988,4,1988.292,4.1,1,2.55,NA
1988,5,1988.375,3.81,1.03,2.42,NA
1988,6,1988.458,3.76,1.03,2.395,NA
1988,7,1988.542,3.95,1.07,2.51,NA
1988,8,1988.625,3.88,1.03,2.455,NA
1988,9,1988.708,3.85,1.03,2.44,NA
1988,10,1988.792,3.92,1.14,2.53,NA
1988,11,1988.875,3.89,1.18,2.535,NA
1988,12,1988.958,3.75,1.1,2.425,NA
1989,1,1989.042,3.73,1.12,2.425,NA
1989,2,1989.125,3.9,1.09,2.495,NA
1989,3,1989.208,3.86,1.01,2.435,NA
1989,4,1989.292,3.77,0.98,2.375,NA
1989,5,1989.375,3.75,0.98,2.365,NA
1989,6,1989.458,3.61,0.97,2.29,NA
1989,7,1989.542,NA,NA,NA,NA
1989,8,1989.625,3.86,1.07,2.465,NA
1989,9,1989.708,3.76,1,2.38,NA
1989,10,1989.792,3.9,1.1,2.5,NA
1989,11,1989.875,3.96,0.89,2.425,NA
1989,12,1989.958,4.07,1.33,2.7,NA
1990,1,1990.042,3.99,1.18,2.585,NA
1990,2,1990.125,4.16,1.23,2.695,NA
1990,3,1990.208,3.8,0.92,2.36,NA
1990,4,1990.292,3.75,0.82,2.285,NA
1990,5,1990.375,3.75,0.96,2.355,NA
1990,6,1990.458,3.8,1.03,2.415,NA
1990,7,1990.542,3.75,1.03,2.39,NA
1990,8,1990.625,3.77,1.07,2.42,NA
1990,9,1990.708,3.77,1.01,2.39,NA
1990,10,1990.792,3.99,1.18,2.585,NA
1990,11,1990.875,NA,NA,NA,NA
1990,12,1990.958,3.81,0.99,2.4,NA
1991,1,1991.042,3.87,1.01,2.44,NA
1991,2,1991.125,3.79,0.98,2.385,NA
1991,3,1991.208,3.85,0.97,2.41,NA
1991,4,1991.292,3.77,0.95,2.36,NA
1991,5,1991.375,3.63,0.82,2.225,NA
1991,6,1991.458,3.81,1.13,2.47,NA
1991,7,1991.542,3.68,1.12,2.4,NA
1991,8,1991.625,3.72,0.88,2.3,NA
1991,9,1991.708,3.78,0.96,2.37,NA
1991,10,1991.792,3.78,0.98,2.38,NA
1991,11,1991.875,3.83,1.01,2.42,NA
1991,12,1991.958,3.7,0.9,2.3,NA
1992,1,1992.042,3.65,0.89,2.27,NA
1992,2,1992.125,3.71,0.87,2.29,NA
1992,3,1992.208,3.65,0.82,2.235,NA
1992,4,1992.292,3.65,0.84,2.245,NA
1992,5,1992.375,3.67,0.84,2.255,NA
1992,6,1992.458,3.55,0.86,2.205,NA
1992,7,1992.542,3.91,0.9,2.405,NA
1992,8,1992.625,3.98,0.93,2.455,NA
1992,9,1992.708,3.59,0.92,2.255,NA
1992,10,1992.792,3.72,0.89,2.305,NA
1992,11,1992.875,3.67,1.02,2.345,NA
1992,12,1992.958,3.81,1.05,2.43,NA
1993,1,1993.042,3.907,1.115,2.511,NA
1993,2,1993.125,3.659,0.736,2.197,NA
1993,3,1993.208,3.727,0.861,2.294,NA
1993,4,1993.292,3.834,0.948,2.391,NA
1993,5,1993.375,3.815,0.972,2.393,NA
1993,6,1993.458,3.799,0.938,2.369,NA
1993,7,1993.542,3.78,0.938,2.359,NA
1993,8,1993.625,3.737,0.877,2.307,NA
1993,9,1993.708,3.939,1.029,2.484,NA
1993,10,1993.792,3.902,0.998,2.45,NA
1993,11,1993.875,3.842,1.01,2.426,NA
1993,12,1993.958,3.851,1.073,2.462,NA
1994,1,1994.042,3.903,0.944,2.424,NA
1994,2,1994.125,3.931,1.028,2.479,NA
1994,3,1994.208,3.876,0.862,2.369,NA
1994,4,1994.292,3.738,0.786,2.262,NA
1994,5,1994.375,3.872,0.961,2.417,NA
1994,6,1994.458,3.767,0.891,2.329,NA
1994,7,1994.542,3.791,0.928,2.36,NA
1994,8,1994.625,3.711,0.945,2.328,NA
