"month","year","mtl","mhw","mlw","nhw","nlw","msl","dyear"
1,2002,2.606,4.036,1.177,59,60,2.647,2002.042
2,2002,2.514,3.96,1.069,52,54,2.583,2002.125
3,2002,2.396,3.882,0.911,57,57,2.454,2002.208
4,2002,2.39,3.835,0.945,55,55,2.439,2002.292
5,2002,NA,NA,NA,47,47,NA,2002.375
6,2002,NA,NA,NA,39,39,NA,2002.458
7,2002,2.373,3.748,0.997,60,60,2.414,2002.542
8,2002,NA,NA,NA,40,40,NA,2002.625
9,2002,2.422,3.831,1.012,58,57,2.478,2002.708
10,2002,2.532,3.935,1.128,60,60,2.569,2002.792
11,2002,2.663,4.084,1.242,57,57,2.702,2002.875
12,2002,2.546,3.968,1.124,59,59,2.586,2002.958
1,2003,2.489,3.907,1.07,57,57,2.534,2003.042
2,2003,2.406,3.829,0.983,52,52,2.449,2003.125
3,2003,2.436,3.846,1.025,59,59,2.47,2003.208
4,2003,2.441,3.862,1.021,58,58,2.492,2003.292
5,2003,2.466,3.869,1.064,58,58,2.508,2003.375
6,2003,2.529,3.907,1.151,57,57,2.56,2003.458
7,2003,2.516,3.902,1.13,60,60,2.555,2003.542
8,2003,2.442,3.854,1.031,59,59,2.492,2003.625
9,2003,2.454,3.879,1.029,58,58,2.501,2003.708
10,2003,2.481,3.898,1.064,59,59,2.536,2003.792
11,2003,2.614,3.993,1.235,57,57,2.649,2003.875
12,2003,2.479,3.85,1.108,60,59,2.526,2003.958
1,2004,2.532,3.895,1.169,59,59,2.562,2004.042
2,2004,2.396,3.784,1.009,56,57,2.436,2004.125
3,2004,2.41,3.77,1.049,60,59,2.463,2004.208
4,2004,2.416,3.802,1.029,58,58,2.454,2004.292
5,2004,2.397,3.795,0.998,60,60,2.434,2004.375
6,2004,2.431,3.825,1.037,57,57,2.47,2004.458
7,2004,2.426,3.819,1.033,58,58,2.458,2004.542
8,2004,2.53,3.95,1.11,58,59,2.571,2004.625
9,2004,2.49,3.914,1.067,57,57,2.536,2004.708
10,2004,2.657,4.083,1.232,58,59,2.693,2004.792
